HUGO symbols,msi.h.1,msi.h.2,msi.h.3,msi.h.4,msi.h.5,msi.h.6,msi.h.7,msi.h.8,msi.h.9,msi.h.10,msi.h.11,msi.h.12,msi.h.13,msi.h.14,msi.h.15,msi.h.16,msi.h.17,msi.h.18,msi.h.19,msi.h.20,msi.h.21,msi.h.22,msi.h.23,msi.h.24,msi.h.25,msi.h.26,msi.h.27,msi.h.28,msi.h.29,msi.h.30,msi.h.31,msi.h.32,msi.h.33,msi.h.34,msi.h.35,msi.h.36,msi.h.37,msi.h.38,msi.h.39,msi.h.40,msi.h.41,msi.h.42,msi.h.43,msi.h.44,msi.h.45,msi.h.46,msi.h.47,msi.h.48,msi.h.49,msi.h.50,msi.h.51,msi.h.52,msi.h.53,msi.h.54,msi.h.55,msi.h.56,msi.h.57,msi.h.58,msi.h.59,msi.h.60,msi.h.61,msi.h.62,msi.h.63,msi.h.64,msi.h.65,msi.h.66,msi.h.67,msi.h.68,msi.h.69,msi.h.70,msi.h.71,msi.h.72,msi.h.73,msi.h.74,msi.h.75,msi.h.76,msi.h.77,msi.h.78,msi.h.79,msi.h.80,msi.h.81,msi.h.82,msi.l.1,msi.l.2,msi.l.3,msi.l.4,msi.l.5,msi.l.6,msi.l.7,msi.l.8,msi.l.9,msi.l.10,msi.l.11,msi.l.12,msi.l.13,msi.l.14,msi.l.15,msi.l.16,msi.l.17,msi.l.18,msi.l.19,msi.l.20,msi.l.21,msi.l.22,msi.l.23,msi.l.24,msi.l.25,msi.l.26,msi.l.27,msi.l.28,msi.l.29,msi.l.30,msi.l.31,msi.l.32,msi.l.33,msi.l.34,msi.l.35,msi.l.36,msi.l.37,msi.l.38,msi.l.39,msi.l.40,msi.l.41,msi.l.42,msi.l.43,msi.l.44,msi.l.45,msi.l.46,msi.l.47,msi.l.48,msi.l.49,msi.l.50,msi.l.51,msi.l.52,msi.l.53,msi.l.54,msi.l.55,msi.l.56,msi.l.57,msi.l.58,msi.l.59,msi.l.60,msi.l.61,msi.l.62,msi.l.63,msi.l.64,msi.l.65,msi.l.66,msi.l.67,msi.l.68,msi.l.69,msi.l.70,msi.l.71,msi.l.72,msi.l.73,msi.l.74,msi.l.75,msi.l.76,msi.l.77,msi.l.78,msi.l.79,msi.l.80,msi.l.81,msi.l.82
EOMES,173.2463,73.8854,18.8902,89.2248,30.9893,0.819,30.022,2.0184,34.6021,72.6925,6.841,95.297,27.5689,4.884,65.9341,17.4622,30.7692,9.6463,76.9448,11.1959,26.6349,16.4474,60.3713,4.4395,31.6742,18.5387,61.2245,7.0654,10.6402,50.0808,19.2555,19.0311,0,11.6959,7.9107,70.1559,52.8474,36.98,58.3839,73.2484,49.7427,20.7469,1.5361,18.8912,111.6156,4.8733,16.3351,33.6722,9.4031,0,54.6461,5.3996,30.3797,9.6017,7.5726,31.7457,31.4781,59.5094,1.868,16.5663,4.2403,21.2094,17.5458,43.4537,50.0473,11.7275,10.7178,332.6235,12.1244,0,37.3365,40.793,57.3085,13.9587,5.2402,5.6625,2.4195,18.2901,2.003,57.6285,40.8845,13.0271,1.6181,20.8665,38.2775,2.5471,39.9261,11.8473,20.2846,9.6618,24.8139,8.7527,32.9821,1.1038,4.0033,9.5403,6.11,19.9409,12.2137,4.0584,5.5728,9.9668,13.6985,22.1419,10.9769,31.6056,31.1943,4.644,2.2573,1.0797,5.6788,28.6697,0,36.4322,30.9406,6.3406,69.697,2.3346,0,3.6541,0,10.8581,14.5074,4.9025,16.3337,154.2617,1.6964,51.1409,160.0803,4.902,8.9686,6.1736,1.2245,6.0612,17.6171,1.6447,2.405,3.9722,12.4197,16.8527,0.8584,11.6995,31.2931,2.6362,30.9764,11.8215,0.9338,2.2649,4.0766,3.1817,1.581,5.891,20.6787,52.9705,0.5568,8.6036,5.4615,13.1752,17.7634,30.8048,5.966,13.5796,2.0458,0.3365
ESAM,1134.6317,354.1401,680.0472,1020.9654,923.8021,189.1892,197.0194,661.0319,281.2654,846.9632,1955.0715,261.2005,258.1454,495.7631,475.956,494.7614,489.5604,331.1897,406.2235,238.9754,509.1969,388.2127,243.6034,254.162,629.0385,467.9498,290.3711,512.7429,200.0362,415.1858,745.828,856.4273,421.8916,421.0526,414.749,329.6214,687.0159,231.1248,172.3056,312.1019,265.0086,282.6763,368.1516,452.4454,630.0229,404.4834,233.4343,421.559,313.1643,314.4208,1147.0969,287.257,522.3629,485.064,465.7131,266.9765,236.7701,515.0133,732.254,251.5211,370.318,655.6859,323.4732,555.3047,144.1957,460.6544,451.2763,540.46,498.2571,310.6992,506.0194,950.4384,396.9661,1555.5556,117.9039,408.8335,355.0609,450.872,342.013,457.2968,464.6683,110.3874,207.1197,567.5679,583.7321,281.7117,872.0887,1845.6915,548.0978,91.3043,330.0248,373.1182,328.4471,226.2804,264.2175,403.2958,213.8493,320.5682,287.8321,393.6664,328.1734,361.3455,403.5317,434.5154,406.169,139.1403,374.3939,342.1053,241.5688,354.1574,240.7832,402.5459,550,385.6784,582.9332,1086.0507,378.7879,234.626,104.7745,413.5079,415.2881,406.3107,193.4717,374.6298,485.795,1146.4586,190.4156,190.0027,757.245,214.4608,356.2531,553.2471,196.7347,321.6214,551.2286,483.5526,297.2583,236.3456,208.137,496.3135,359.6567,176.7241,346.9857,209.1388,326.8238,549.7006,232.5201,118.4216,213.616,205.8543,295.6522,591.7198,309.1198,222.5732,197.6615,338.2948,87.9301,236.4954,705.6924,595.559,386.8747,358.662,230.3601,280.6427
ESM1,118.7787,143.949,80.2834,186.7382,132.3004,140.8681,125.248,185.1899,158.1809,274.0316,57.1715,37.1287,146.6165,97.6801,41.7582,87.3108,234.6154,73.955,57.7086,75.6691,369.7553,111.8421,62.4896,95.4495,59.9548,46.892,161.41,111.027,178.7557,67.8514,165.5969,132.3529,98.831,70.1754,111.8805,63.4744,113.4396,83.2049,20.4344,62.6327,18.8679,25.9336,290.3226,61.3966,257.5227,148.6355,119.0884,173.1715,372.8536,125.2955,60.7702,102.0518,117.7215,163.229,157.3412,69.7365,40.146,241.3436,211.7061,76.8072,113.0742,82.13,63.4349,126.4108,38.6504,112.5836,109.9986,30.6644,75.0561,139.0288,188.8788,165.0782,88.7583,42.4344,38.4279,103.624,116.7406,79.1153,96.1442,36.8988,221.7199,109.3589,142.3948,170.6413,119.6172,328.0693,939.3715,574.2844,233.0657,56.0386,136.4764,70.0219,118.6441,55.1876,162.8007,82.3938,38.6965,98.5317,90.0763,108.7656,188.2353,131.2292,92.1533,101.5473,88.9133,78.3818,48.1283,133.1269,37.246,96.0947,59.06,91.7431,425,228.6432,232.6733,535.3261,221.2121,137.7406,35.809,63.3374,159.322,211.7333,106.3873,80.4821,95.3676,352.3409,145.0382,189.2924,84.8074,109.4771,468.859,120.6221,181.6327,64.7789,101.5299,73.0263,179.4132,54.6177,126.7666,166.4209,140.7725,159.4828,68.5688,155.0967,158.4736,255.9359,239.9907,31.7085,202.2014,43.2708,194.4664,209.4584,208.9077,46.6529,124.1648,154.8654,22.3921,2.635,1312.8785,129.3801,221.2024,186.9196,69.5581,173.2986
FAM124B,38.0617,7.6433,4.7226,26.3286,3.5757,8.19,2.3455,5.046,3.9545,30.1291,4.3978,23.5149,7.5188,4.884,5.4945,16.298,7.1429,9.6463,15.8416,8.1074,10.9673,6.5789,7.414,16.6482,16.9683,9.8146,9.2764,22.2054,4.2561,46.8498,21.8228,10.3806,7.4389,14.6199,20.3419,6.6815,28.246,6.1633,8.7576,4.2463,5.1458,18.6722,4.0963,15.113,41.0154,7.3099,2.6347,22.7397,3.2706,10.8747,11.7772,12.959,27.0042,11.0242,11.3589,13.531,10.9489,11.3876,13.076,3.012,19.788,29.7834,12.1471,27.6524,4.9552,12.6657,14.1024,31.9421,23.0942,11.6865,15.8131,51.0865,11.1821,85.4271,6.1135,9.06,1.8146,6.3803,6.009,15.34,11.7936,3.4282,4.8544,21.7939,35.8852,8.1508,39.5564,73.5782,15.3169,3.8647,9.9256,15.3173,9.6198,12.1413,6.6722,12.1422,4.0733,15.249,10.687,15.422,7.4303,11.6279,9.9625,2.2905,7.6839,11.378,15.1515,21.6718,13.544,9.7174,9.0862,25.2294,0,10.0503,19.802,31.7029,3.0303,2.3346,3.9788,1.218,0,5.4291,6.4477,11.0305,30.0329,42.617,1.6964,3.1963,60.2183,2.0425,8.9686,8.0731,0.4082,9.4706,18.0807,17.7632,12.025,1.9861,11.5632,35.3908,9.8712,1.8473,18.8679,8.348,10.7744,10.0483,54.6282,4.5298,0,6.6815,2.7668,32.0733,9.0138,8.2615,0.5568,23.746,4.3692,3.9526,14.5337,21.5633,12.8499,7.5886,6.1375,9.0856
FCGR3B,23.6245,457.3248,618.6541,111.1653,419.5471,6.552,26.2693,36.3315,157.1923,154.4715,49.3532,252.4752,238.0952,249.0842,468.1319,772.9919,46.7033,508.0386,2163.5078,118.5225,531.1315,146.9298,384.4698,273.03,374.4344,362.0502,242.115,860.9639,623.517,2079.1599,863.9281,838.2353,124.3358,216.3743,193.2482,360.8018,557.1754,115.5624,160.5558,232.4841,420.2401,16.0788,88.0696,22.6695,370.4831,42.885,191.2791,59.0357,58.8716,15.13,14.6037,14.0389,27.4262,356.6856,164.9138,413.7355,38.3212,16.163,64.1345,31.6265,14.1343,550.0903,351.3666,19.7517,192.7565,168.8753,519.5318,1399.063,20.7848,6.8507,89.1684,315.2878,6.29,24.5673,14.8472,9.6263,4.839,4.2535,97.6465,64.262,47.9607,3.4282,25.89,48.2247,582.5359,67.244,126.0628,0.6235,205.3297,4.3478,182.3821,247.2648,119.5602,133.5541,29.3575,272.333,136.4562,68.0338,125.9542,304.3813,53.2508,76.412,320.0458,99.2567,177.8266,120.1011,865.4189,623.839,55.3047,143.6021,62.4673,198.3945,0,52.7638,303.2178,73.3696,145.4545,38.5207,10.6101,24.3605,30.5085,9.7723,33.8505,152.3848,19.495,54.6218,5.0891,10.6544,4.0146,7.3529,31.8884,77.882,5.3061,10.6071,50.0695,131.25,2.886,44.6872,64.6681,328.6286,4.721,19.0887,341.4634,8.348,4.4893,23.052,4.6691,6.4711,1.6307,2.8635,2.3715,17.673,109.7561,27.7002,2.2272,62.6344,0.5461,21.0804,4.4409,129.3801,56.9068,14.7778,2.0458,7.0665
FCRL2,13.781,7.6433,9.4451,12.6767,14.3027,7.371,6.5673,1.0092,3.9545,2.8694,5.3751,3.7129,28.8221,14.652,9.8901,25.6112,0.5495,0,20.3678,38.6067,18.8011,30.7018,26.4786,2.2198,14.7059,20.7197,7.4212,4.0373,17.0244,40.3877,3.8511,13.8408,8.5016,20.4678,6.7806,15.5902,20.9567,6.1633,7.298,16.9851,10.2916,17.1162,4.0963,6.1397,31.602,3.8986,15.8082,19.2413,2.0442,0.4728,0.9422,0.54,26.1603,1.7781,0.4207,20.2965,0.4562,2.9387,0,0,0.7067,5.4152,0.8998,2.8217,7.4328,0.4691,9.0255,167.3765,27.713,0.403,13.1776,22.1121,1.3978,12.842,0,2.265,15.7267,2.5521,1.0015,7.0481,3.9312,67.1923,0,13.4473,7.177,1.5283,155.268,1.2471,13.661,14.0097,18.6104,16.4114,4.1228,2.2075,2.6689,12.1422,4.0733,31.6709,6.8702,11.3636,26.0062,16.6113,4.9813,0.7635,41.7124,42.9836,10.6952,12.3839,11.2867,1.0797,3.4073,24.0826,0,12.5628,0,0.9058,6.0606,12.8402,0,0,0,11.9439,9.6716,8.5793,3.1614,94.8379,2.1204,16.6918,223.3095,0.817,0.4983,6.6485,0.8163,21.2141,25.962,1.9737,4.81,3.9722,3.4261,12.6396,0.4292,0,49.2407,4.3937,0,27.7806,2.8014,0,1.223,0.6363,3.1621,2.6182,16.9671,14.579,0.5568,10.3244,0,15.1515,3.6334,26.1841,14.6856,12.7808,2.8642,0.673
FGFBP2,7.8748,7.6433,8.2645,13.1643,0,0.819,5.16,3.0276,3.9545,9.5648,0.9773,68.0693,16.2907,28.083,3.2967,3.4924,1.6484,3.2154,2.2631,1.9303,6.267,2.193,1.0591,11.0988,3.3937,3.2715,2.7829,8.0747,19.1524,24.2326,7.7022,8.6505,2.1254,0,5.6505,3.3408,6.8337,1.5408,4.3788,6.3694,0.8576,6.7427,14.849,7.5565,8.0686,3.8986,5.7963,8.746,3.6795,3.7825,4.7109,2.6998,2.1097,1.7781,0.4207,7.2859,35.1277,2.2041,9.34,1.506,14.841,1.3538,4.4989,1.693,4.9552,1.8764,0.5641,43.8671,9.2377,2.0149,5.7103,12.581,9.0855,10.0503,3.4934,2.265,90.1262,1.7014,3.5053,19.4859,5.8968,2.3997,0,7.4192,3.5885,1.0188,13.6784,3.7413,2.8978,1.9324,1.2407,3.2823,1.3743,0,0,1.7346,4.0733,0,3.8168,0.8117,1.8576,4.9834,3.7359,3.8176,7.6839,1.2642,3.5651,1.548,1.1287,0,6.8146,4.5872,0,5.0251,1.2376,12.6812,0,0,2.6525,0,3.3898,4.3432,4.0298,1.2256,8.4303,53.4214,0,0.3551,14.0509,1.634,0.4983,2.3745,0.8163,6.0612,3.7089,0.3289,2.886,1.9861,0.8565,6.7411,0.4292,1.8473,0.9204,0,0,1.1822,1.4007,0.6471,0,0,0.3953,2.6182,0.5302,1.4579,0.5568,0.6883,0,1.3175,0.8074,4.6207,3.6714,2.3964,0.8183,3.0285
FLT3LG,134.5283,109.5541,97.9929,115.5534,50.0596,49.959,38.9348,47.9374,67.7212,169.7752,32.2506,92.8218,77.6942,124.5421,161.5385,83.8184,41.2088,141.4791,80.3395,54.4354,316.4854,74.5614,120.7426,35.5161,95.0226,82.879,24.1187,106.9897,0,93.6995,46.2131,144.4637,52.0723,73.0994,33.9032,86.8597,180.8656,66.2558,151.7982,212.3142,78.9022,72.0954,32.2581,104.3742,159.3548,27.7778,76.4063,73.4667,36.7948,22.2222,106.9368,70.1944,60.7595,103.1294,37.8629,60.369,121.3504,48.8565,144.4583,55.7229,58.6572,85.2888,15.7463,93.6795,95.635,89.5977,80.6656,192.9302,99.8824,26.9998,108.9347,165.0782,77.5761,111.1111,87.3362,37.9388,79.2385,45.5125,70.1052,135.9867,45.2088,71.9918,46.9256,154.4119,100.4785,18.8487,133.0869,126.5795,72.4449,75.8454,102.9777,51.4223,59.093,34.2163,80.0659,59.8439,67.2098,55.1308,78.626,77.9216,31.5789,49.8339,73.4736,32.0676,57.0801,64.4753,81.1052,49.5356,34.9887,30.232,127.2062,97.4771,75,66.5829,89.1089,78.8043,18.1818,56.0301,19.8939,36.5408,42.3729,42.3467,49.9698,60.8722,121.1853,168.6675,25.8694,46.8792,195.2076,107.8431,54.8082,41.7903,70.2041,39.7765,45.4335,37.8289,70.7071,72.4926,60.8137,74.1521,45.9227,25.8621,147.722,17.1353,8.5297,56.7433,32.2166,31.0614,25.6828,13.0449,14.2292,67.4194,60.4454,42.7652,43.9866,54.3749,31.1305,78.3926,83.5688,94.468,91.7852,65.1023,21.2766,37.3517
FPR3,534.1759,743.949,775.6789,941.0044,734.2074,176.0852,160.4301,199.8234,1147.306,973.2186,475.4523,397.2772,310.7769,189.2552,563.7363,763.6787,239.5604,450.1608,1014.9929,422.3571,647.0717,342.1053,613.2451,443.9512,289.5928,329.3348,317.2542,588.4431,857.6019,840.0646,1274.7112,1035.4671,259.2986,558.4795,302.8685,546.7706,480.6378,204.9307,270.0257,292.9936,613.2075,331.9502,94.214,218.6662,1050.2623,187.1345,470.0303,593.4186,150.0409,26.4775,353.3153,293.7365,742.1941,655.761,358.8557,696.3246,600.365,196.8952,46.0772,22.5904,56.5371,1207.13,261.3879,357.7878,570.8368,178.2573,509.9422,1508.5179,279.4397,67.701,1030.9267,1750.2859,90.8549,420.4355,265.5022,109.2865,41.1314,94.8533,248.8733,685.738,552.7273,126.157,90.6149,742.3826,490.4306,55.5273,362.2921,1860.6565,628.8221,215.942,316.3772,401.5317,330.7375,211.9205,80.0659,298.3521,109.9796,151.3165,195.4198,403.4066,265.6347,142.0266,300.1208,196.2229,233.809,180.7838,1122.9947,424.1486,82.3928,133.8847,155.6005,557.3394,25,149.4975,345.297,171.1957,118.1818,47.859,11.9363,51.1571,106.7797,56.4622,60.4473,730.4668,347.7491,1496.3986,28.838,101.2164,248.9023,10.6209,111.1111,322.4504,35.5102,153.0448,649.0496,350.6579,98.6051,43.6941,359.743,906.2566,106.0086,144.7044,619.4202,85.6766,45.7912,261.8466,67.7016,144.6297,17.1219,83.9962,73.913,400.5891,162.7784,315.393,51.7817,252.2585,10.3768,65.8762,84.3763,372.2244,324.4608,232.4513,62.1931,195.8442
GNLY,178.4961,663.6943,809.9174,1381.2774,766.3886,22.932,307.2564,180.6484,552.6446,560.9756,206.6971,81.6832,350.8772,90.3541,498.9011,144.3539,53.8462,376.2058,358.6987,363.675,733.2435,54.8246,370.7009,248.6127,247.7376,441.6576,131.7254,253.3434,65.9694,1056.5428,448.0103,634.083,375.1328,456.1404,114.1407,2257.2383,696.1276,326.6564,366.3592,753.7155,525.729,530.083,66.5643,580.9059,223.9036,326.9981,418.3902,87.4604,121.0139,31.2057,411.7301,1435.7451,421.519,243.5989,329.4068,736.9176,265.5109,23.1425,613.9477,64.759,101.7668,82.5812,38.6908,255.079,208.6131,280.9898,136.5111,710.3918,591.2112,12.4924,329.0005,839.1155,113.2192,62.5349,99.5633,91.1665,46.5753,611.2293,172.2584,789.801,560.1966,23.6544,8.0906,54.2528,86.1244,2.5471,31.793,41.7775,93.9714,15.942,105.4591,22.9759,144.7549,34.2163,29.3575,124.0243,54.9898,44.5739,36.6412,30.0323,63.1579,22.4252,68.4923,77.8783,100.9879,101.1378,107.8431,142.4149,31.6027,24.8335,88.5901,57.3394,75,67.8392,68.0693,38.9493,160.6061,67.703,10.6101,36.5408,22.0339,24.9737,45.134,184.6594,109.0668,188.4754,20.7803,25.9256,32.1164,57.1895,329.3473,88.3296,11.8367,35.9883,24.1076,19.0789,8.177,39.7219,39.8287,22.3299,14.5923,147.7833,52.462,12.7417,2.6936,29.5538,37.8195,170.1906,57.8883,41.3618,3.5573,24.2186,79.0032,207.9942,2.784,26.155,12.5614,237.8129,171.5785,148.3763,18.357,25.5617,4.91,5.0475
GREM1,908.2303,2880.0382,2266.8005,3485.1292,2033.3492,792.7928,323.2056,536.3946,270.8848,5797.2262,1345.7303,1436.8069,468.6717,822.9182,876.8791,5068.4983,362.0879,704.0836,2461.058,1903.3096,2477.9244,2649.1228,1471.1317,1466.1265,4098.3258,2342.4209,1866.41,4171.5064,4243.3206,5966.0743,4154.0308,3849.3685,1816.153,1824.5614,2528.0478,2720.3452,4875.1708,340.5239,892.9239,1281.2633,2445.0943,2622.4066,452.1249,3407.0368,3330.9856,1986.8421,4652.8784,3831.6388,256.3369,658.156,3812.0316,691.6847,1068.3544,3647.5818,2589.8191,1986.9712,515.5109,474.973,435.8655,272.5904,1183.0389,20815.8845,79.1812,2686.2302,1067.8414,1791.955,3991.5329,7732.5383,3536.8749,1810.1954,2460.6951,5161.2657,1214.6605,22745.3936,88.2096,356.1721,229.2472,176.0953,1429.6445,2146.3516,508.6978,369.9006,72.8155,5491.5908,5974.8086,188.9964,8834.7505,5231.5376,1996.9966,62.3188,1012.3821,2845.6783,1450.7558,1212.8366,242.8666,2534.2151,268.8391,2375.2943,1023.4275,900.1569,738.0805,1076.3621,2617.5888,681.5272,1475.3568,163.0847,4024.9109,2287.8173,718.9616,1171.4372,668.9117,2200.6537,100,525.1256,3027.104,3288.0344,475.7576,465.7501,58.3554,199.7564,3338.2542,417.9941,864.7915,5534.879,2065.9459,5000,237.0653,421.9125,18256.6805,272.8758,3385.152,4927.4605,9.7959,668.6239,6439.0357,4364.1447,1540.6445,1118.143,3735.3319,12065.3044,6637.7682,897.7833,3590.428,549.2091,694.5006,1601.8158,1944.6714,1713.554,14.6759,411.3904,483.3992,3043.6917,966.0657,789.6975,3345.7684,1554.8481,247.9519,494.0514,671.3767,7208.3173,3800.3671,728.9066,275.7774,1853.1169
HAL,9.8435,6.3694,5.9032,6.8259,33.3731,2.457,6.5673,0.5046,5.9318,3.8259,8.7956,4.9505,23.8095,1.221,5.4945,17.4622,4.9451,28.9389,27.157,2.7025,15.6676,14.2544,8.4732,11.0988,4.5249,9.8146,2.7829,20.1867,19.1524,0,7.7022,132.3529,5.3135,5.848,9.0409,8.9087,12.7563,27.735,4.3788,13.8004,0.8576,3.6307,2.5602,3.7782,2.6895,1.462,2.6347,6.5595,7.7678,1.8913,1.8843,2.6998,1.2658,4.2674,4.6277,1.0408,3.6496,0.3673,10.5853,3.012,0.7067,10.3791,8.548,0.5643,4.4597,3.2837,12.4101,19.5911,1.7321,2.4179,0.8785,14.8685,0,83.1937,2.6201,6.795,3.6292,10.6338,5.0075,1.6584,9.4349,6.1707,0,2.7822,9.5694,5.6037,7.7634,2.4942,4.5537,5.314,18.6104,3.2823,5.0389,9.9338,5.3377,5.2038,4.0733,3.519,9.1603,4.8701,6.192,6.6445,7.4719,2.2905,5.4885,6.3211,2.6738,23.2198,13.544,4.3189,18.1723,5.7339,0,6.2814,3.7129,7.2464,6.0606,7.0038,1.3263,3.6541,8.4746,1.0858,7.2537,4.0854,1.0538,5.4022,2.5445,1.7757,4.0146,7.3529,3.4878,5.2238,1.6327,1.1365,4.6361,5.2632,5.291,0,0,3.3705,3.4335,2.4631,9.2039,3.0756,3.1425,1.1822,5.6029,0.9707,9.7839,0.6363,4.3478,1.3091,4.2418,3.4018,0.5568,8.2595,4.3692,0.6588,0.8074,3.5939,3.6714,9.5856,3.2733,2.3555
HECW2,130.5909,108.2803,54.3093,41.4432,53.6353,45.045,20.6401,84.7736,48.9372,406.9823,17.1026,51.9802,230.5764,25.641,31.8681,77.9977,80.2198,22.508,87.1287,222.3745,92.4388,59.2105,34.9518,169.8113,57.6923,66.5213,122.449,98.915,195.7801,50.0808,142.4904,326.9896,59.5112,40.9357,88.1483,54.5657,123.4624,63.1741,23.3536,37.155,40.3087,57.0539,32.7701,86.8997,180.871,213.9376,85.8912,111.9493,88.7163,100.2364,34.3894,66.4147,92.4051,92.1053,84.5604,45.2767,79.8358,60.9787,82.8144,66.2651,91.8728,370.4874,108.8741,165.3499,64.9129,67.081,112.255,207.8365,164.5461,63.2682,159.4488,273.7324,116.0148,82.0771,41.048,33.9751,29.0339,33.6027,523.7857,73.3831,151.7445,26.0542,40.4531,49.6158,76.555,48.9047,424.0296,374.1266,212.3672,57.971,78.1638,53.6105,82.4553,67.3289,18.682,65.0477,12.22,103.2237,48.855,78.7333,27.2446,30.7309,136.9846,137.4324,38.4193,20.2276,95.3654,80.4954,27.088,57.2249,57.9243,63.0734,75,82.9146,113.8614,410.3261,103.0303,39.688,13.2626,36.5408,11.8644,55.3764,71.7308,82.5248,54.2699,395.5582,44.5293,50.4306,283.026,31.8627,72.7454,156.2389,27.7551,36.3671,153.9175,116.4474,27.417,16.8818,76.6595,163.4717,63.9485,16.6256,76.8523,31.6344,123.4568,78.022,39.6872,29.7672,26.4982,32.4531,67.9842,133.5297,71.5801,41.7932,23.3853,68.829,28.9459,17.1278,97.6988,70.851,47.7283,54.3185,70.7856,56.8688
HHIP,14.4372,20.3822,0,16.5773,8.3433,5.733,1.8764,2.523,4.4488,106.1693,3.9092,11.1386,8.7719,37.851,17.5824,9.3132,2.1978,32.1543,57.7086,55.5936,31.3352,42.7632,3.1774,27.7469,36.1991,31.6249,6.4935,8.0747,2.128,8.0775,7.7022,31.1419,2.1254,2.924,20.3419,0,6.3781,1.5408,0,22.293,6.8611,14.0041,3.0722,2.8337,61.1869,15.1072,2.1078,31.923,1.6353,0.4728,7.5374,1.6199,6.7511,71.835,19.3521,4.6838,0,17.2651,2.4907,3.012,0.7067,19.4043,0.8998,18.623,5.9462,5.6292,9.5896,5.1107,61.777,1.6119,1.3178,3.8124,11.1821,53.6013,4.3668,0.5663,4.2341,2.9775,8.012,1.2438,5.5037,6.8564,6.4725,21.7939,8.3732,1.5283,77.2643,44.2717,17.8008,16.4251,58.3127,79.8687,9.6198,45.2539,12.0099,16.4788,10.1833,114.9537,25.9542,9.7402,30.9598,61.4618,8.7172,51.9189,54.8847,7.5853,20.4991,18.5759,18.0587,44.2683,15.9008,37.844,0,7.5377,17.3267,21.7391,3.0303,9.3383,3.9788,6.0901,0,20.6304,29.8207,4.4939,17.3875,40.2161,5.9372,26.6359,8.0291,0,1.993,7.1234,2.0408,75.0071,58.8781,28.2895,35.594,21.8471,150.7495,27.807,9.4421,9.2365,117.8095,10.5448,5.3872,15.368,7.0036,52.4161,2.0383,0,0,162.3302,62.0361,0.486,15.5902,50.5893,7.0999,26.3505,18.5709,46.2072,35.7962,19.97,4.0917,36.3422
ICOS,58.405,121.0191,59.0319,149.6831,121.5733,18.018,37.5275,13.1197,30.1532,36.3462,28.3415,47.0297,41.3534,29.304,62.6374,41.9092,26.9231,6.4309,81.471,33.2017,54.8366,42.7632,84.7316,16.6482,37.3303,63.2497,28.757,67.6255,93.634,103.3926,65.4685,108.1315,35.0691,70.1754,15.8215,71.2695,31.8907,44.6841,36.49,45.6476,36.8782,48.2365,30.722,17.0021,33.6192,8.7719,54.8017,41.1064,48.242,8.5106,52.7617,13.4989,35.443,68.6344,39.1249,26.5415,20.5292,9.1835,15.5666,3.012,9.894,47.3827,24.7441,20.316,42.119,16.4184,54.1532,169.506,31.7545,7.2537,21.0841,128.4788,15.3754,13.9587,4.3668,31.7101,6.6536,19.9915,26.5398,119.8176,26.7322,60.6788,0,54.2528,84.9282,2.0377,85.0277,100.3907,51.3324,11.5942,52.1092,44.8578,68.7128,15.4525,5.3377,69.3842,8.1466,39.8819,24.4275,55.1945,34.0557,16.6113,32.3782,11.4527,21.9539,53.0973,92.6916,12.3839,5.6433,12.9566,7.9504,63.0734,0,40.201,21.0396,18.1159,33.3333,19.844,0,13.3983,15.2542,18.4588,20.9551,44.5307,20.0219,155.4622,10.1781,25.2153,150.5457,4.4935,19.432,58.4115,2.0408,6.0612,25.4984,39.1447,8.658,12.9096,50.1071,73.7308,14.1631,33.2512,53.8426,4.3937,2.6936,17.1412,10.272,22.0018,10.1916,3.818,6.7194,9.8184,44.5387,85.0443,3.3408,21.6811,2.1846,18.4453,23.4154,69.8242,60.1193,47.9281,20.8674,7.7395
KCNJ15,53.1551,67.5159,51.9481,28.7665,39.3325,5.733,3.2837,6.5599,28.176,198.4696,8.7956,35.8911,10.0251,19.536,32.967,119.9069,10.4396,32.1543,144.8373,18.5312,125.3408,17.5439,19.0646,18.8679,46.3801,52.3446,18.5529,109.0083,95.762,111.4701,169.448,92.5606,11.6897,2.924,31.643,20.0445,47.836,10.7858,18.9748,10.6157,11.1492,21.2656,12.8008,19.3635,38.3258,26.8031,55.3287,54.2254,14.3091,3.7825,42.8689,7.5594,48.9451,45.1636,35.3387,20.8169,1.8248,2.9387,16.812,7.5301,7.0671,158.8448,37.791,27.6524,26.758,53.0081,93.0757,165.247,25.981,10.4775,42.1683,231.0332,4.8922,32.3841,10.4803,14.7225,9.0731,8.0817,25.5383,11.6086,16.9042,2.0569,4.8544,14.3747,52.6316,16.3016,43.2532,267.5006,36.4295,3.8647,28.536,15.3173,28.8594,11.0375,10.6755,24.2845,24.4399,4.692,9.1603,16.2337,15.4799,9.1362,48.5673,2.2905,7.6839,5.0569,51.6934,35.6037,3.386,21.5943,11.3577,9.1743,50,6.2814,71.7822,17.2101,0,5.8365,1.3263,3.6541,0,3.2574,3.2239,49.4332,34.248,60.024,0.8482,6.3926,22.08,3.6765,21.425,27.0687,0.8163,58.7177,29.6708,49.3421,8.177,2.9791,7.2805,102.8018,7.2961,8.0049,45.5591,5.7118,0.8979,35.4646,7.0036,3.8827,1.223,1.909,3.5573,72.6559,7.9533,4.3737,4.4543,33.7262,1.6384,3.2938,7.6706,53.9084,16.0624,11.1832,0.4092,12.1141
