HUGO_symbols,TCGA-AF-2687-01A-02R-1736-07,TCGA-AF-2690-01A-02R-1736-07,TCGA-AF-2691-01A-01R-0821-07,TCGA-AF-2692-01A-01R-0821-07,TCGA-AF-2693-01A-02R-1736-07,TCGA-AF-3400-01A-01R-0821-07,TCGA-AF-3913-01A-02R-1119-07,TCGA-AF-4110-01A-02R-1736-07,TCGA-AF-5654-01A-01R-1660-07,TCGA-AF-6136-01A-11R-1830-07,TCGA-AF-6655-01A-11R-1830-07,TCGA-AF-6672-01A-11R-1830-07,TCGA-AF-A56K-01A-32R-A39D-07,TCGA-AF-A56L-01A-31R-A39D-07,TCGA-AF-A56N-01A-12R-A39D-07,TCGA-AG-3574-01A-01R-0821-07,TCGA-AG-3575-01A-01R-0821-07,TCGA-AG-3578-01A-01R-0821-07,TCGA-AG-3580-01A-01R-0821-07,TCGA-AG-3581-01A-01R-0821-07,TCGA-AG-3582-01A-01R-0821-07,TCGA-AG-3584-01A-01R-0821-07,TCGA-AG-3587-01A-01R-0821-07,TCGA-AG-3591-01A-01R-1736-07,TCGA-AG-3593-01A-01R-0821-07,TCGA-AG-3594-01A-02R-0821-07,TCGA-AG-3598-01A-01R-0826-07,TCGA-AG-3599-01A-02R-0826-07,TCGA-AG-3600-01A-01R-0826-07,TCGA-AG-3602-01A-02R-0826-07,TCGA-AG-3605-01A-01R-0826-07,TCGA-AG-3609-01A-02R-0826-07,TCGA-AG-3611-01A-01R-0826-07,TCGA-AG-3612-01A-01R-0826-07,TCGA-AG-3725-01A-11R-1736-07,TCGA-AG-3726-01A-02R-0905-07,TCGA-AG-3727-01A-01R-0905-07,TCGA-AG-3728-01A-01R-0905-07,TCGA-AG-3732-01A-11R-1660-07,TCGA-AG-3742-01A-11R-1660-07,TCGA-AG-3878-01A-02R-0905-07,TCGA-AG-3881-01A-01R-0905-07,TCGA-AG-3882-01A-01R-0905-07,TCGA-AG-3883-01A-02R-0905-07,TCGA-AG-3885-01A-01R-0905-07,TCGA-AG-3887-01A-01R-1119-07,TCGA-AG-3890-01A-01R-1119-07,TCGA-AG-3892-01A-01R-1119-07,TCGA-AG-3893-01A-01R-1119-07,TCGA-AG-3894-01A-01R-1119-07,TCGA-AG-3896-01A-01R-1119-07,TCGA-AG-3898-01A-01R-1119-07,TCGA-AG-3901-01A-01R-1119-07,TCGA-AG-3902-01A-01R-A32Z-07,TCGA-AG-3909-01A-01R-1119-07,TCGA-AG-3999-01A-01R-1119-07,TCGA-AG-4005-01A-01R-1119-07,TCGA-AG-4008-01A-01R-1119-07,TCGA-AG-4015-01A-01R-1119-07,TCGA-AG-4021-01A-01R-1736-07,TCGA-AG-4022-01A-01R-1736-07,TCGA-AG-A002-01A-01R-A002-07,TCGA-AG-A008-01A-01R-A002-07,TCGA-AG-A00C-01A-01R-A002-07,TCGA-AG-A00H-01A-01R-A00A-07,TCGA-AG-A00Y-01A-02R-A002-07,TCGA-AG-A011-01A-01R-A002-07,TCGA-AG-A014-01A-02R-A002-07,TCGA-AG-A015-01A-01R-A002-07,TCGA-AG-A016-01A-01R-A002-07,TCGA-AG-A01J-01A-01R-A00A-07,TCGA-AG-A01L-01A-01R-A002-07,TCGA-AG-A01N-01A-01R-A00A-07,TCGA-AG-A01W-01A-21R-A083-07,TCGA-AG-A01Y-01A-41R-A083-07,TCGA-AG-A020-01A-21R-A083-07,TCGA-AG-A023-01A-01R-A00A-07,TCGA-AG-A025-01A-01R-A00A-07,TCGA-AG-A026-01A-01R-A00A-07,TCGA-AG-A02G-01A-01R-A00A-07,TCGA-AG-A02X-01A-01R-A00A-07,TCGA-AG-A032-01A-01R-A00A-07,TCGA-AG-A036-01A-12R-A083-07,TCGA-AH-6544-01A-11R-1830-07,TCGA-AH-6547-01A-11R-1830-07,TCGA-AH-6643-01A-11R-1830-07,TCGA-AH-6903-01A-11R-1928-07,TCGA-BM-6198-01A-11R-1736-07,TCGA-CI-6619-01B-11R-1830-07,TCGA-CI-6620-01A-11R-1830-07,TCGA-CI-6621-01A-11R-1830-07,TCGA-CI-6622-01A-11R-1830-07,TCGA-CI-6623-01B-11R-1830-07,TCGA-CI-6624-01C-11R-1830-07,TCGA-CL-4957-01A-01R-1736-07,TCGA-CL-5917-01A-11R-1660-07,TCGA-CL-5918-01A-11R-1660-07,TCGA-DC-4745-01A-01R-A32Z-07,TCGA-DC-4749-01A-01R-1736-07,TCGA-DC-5337-01A-01R-1660-07,TCGA-DC-5869-01A-01R-1660-07,TCGA-DC-6155-01A-11R-1660-07,TCGA-DC-6156-01A-11R-1660-07,TCGA-DC-6157-01A-11R-1660-07,TCGA-DC-6158-01A-11R-1660-07,TCGA-DC-6160-01A-11R-1660-07,TCGA-DC-6681-01A-11R-A32Z-07,TCGA-DC-6682-01A-11R-1830-07,TCGA-DC-6683-01A-11R-1830-07,TCGA-DT-5265-01A-21R-1830-07,TCGA-DY-A0XA-01A-11R-A155-07,TCGA-DY-A1DC-01A-31R-A155-07,TCGA-DY-A1DE-01A-11R-A155-07,TCGA-DY-A1DG-01A-11R-A32Y-07,TCGA-DY-A1H8-01A-21R-A155-07,TCGA-EF-5830-01A-01R-1660-07,TCGA-EF-5831-01A-01R-1660-07,TCGA-EI-6506-01A-11R-1736-07,TCGA-EI-6508-01A-11R-1736-07,TCGA-EI-6509-01A-11R-1736-07,TCGA-EI-6511-01A-11R-1736-07,TCGA-EI-6512-01A-11R-1736-07,TCGA-EI-6513-01A-21R-1736-07,TCGA-EI-6514-01A-11R-1736-07,TCGA-EI-6881-01A-11R-A32Z-07,TCGA-EI-6883-01A-31R-1928-07,TCGA-EI-6884-01A-11R-1928-07,TCGA-EI-6885-01A-11R-1928-07,TCGA-EI-6917-01A-11R-1928-07,TCGA-EI-7004-01A-11R-1928-07,TCGA-F5-6464-01A-11R-1736-07,TCGA-F5-6465-01A-11R-1736-07,TCGA-F5-6702-01A-11R-1830-07,TCGA-F5-6810-01A-11R-1830-07,TCGA-F5-6812-01A-11R-1830-07,TCGA-F5-6813-01A-11R-1830-07,TCGA-F5-6814-01A-31R-1928-07,TCGA-F5-6861-01A-11R-1928-07,TCGA-G5-6235-01A-11R-1736-07,TCGA-G5-6572-01A-11R-1830-07,TCGA-G5-6641-01A-11R-A32Z-07
CR2,47.6799,111.5353,88.6303,30.1205,30.726,6.8915,10.8813,77.8437,11.4255,64.6985,0.5659,142.8772,31.1091,6.7925,1.2131,2.6714,0.9826,7.9234,7.1429,24.8606,11.8694,10.3413,28.1518,22.6303,6.2112,18.1044,6.9832,15.5194,15.3846,33.0124,6.2035,18.2232,4.5455,23.7624,8.8682,11.7543,0,145.7906,1729.2517,0.4883,34.3018,14.9007,50.5051,0,13.3779,26.6497,68.195,88.4044,0,5.3942,16.129,10.2564,35.2133,16.1925,90.4071,5.0774,0.9434,24.4173,28.2459,6.3221,179.5666,5.7939,1.2439,20.7235,2.1581,63.2319,97.171,1.099,3.5503,2.2589,10.3493,8.8149,3.9448,163.3826,179.4239,14.4957,180.9211,2.8715,2.8011,80.6769,13.1772,28.4819,71.6706,222.1691,1425.1969,2.2113,23.3779,6.4043,32.7339,85.3981,36.7014,6.7825,1.7655,95.8525,21.7806,3.9781,3.8425,3.1934,1.3263,2.8047,8.2007,2.752,6.6874,33.4833,6.3557,13.6932,6.7628,663.5565,138.0198,0,0,157.9263,22.0615,3.4331,1.9023,0,22.2881,24.3101,9.4572,3.2095,16.4297,2.6053,4.2818,1.7805,16.4159,92.2893,86.3535,4.0663,8.2428,237.2294,4.0887,34.6659,15.2829,1.114,343.8205,116.6448,1.4205,0.6625,110.618,1.2116,25.5987
CSF1R,1825.8834,3289.5985,801.2534,533.1325,627.0691,2577.4059,360.2928,1080.6536,111.5343,344.8492,440.8602,228.0431,733.9946,338.1132,383.3401,536.0641,400.8843,671.7259,455.102,680.3945,495.549,1071.3547,543.4517,403.7443,707.0393,794.4622,374.595,630.4742,685.1282,221.458,327.5434,799.5444,365.1515,795.0495,134.2905,885.1014,1427.4571,2595.4825,497.0522,323.2422,1858.7146,2761.5894,2258.5859,1293.5223,1016.7224,305.8376,772.8771,393.8014,711.0423,521.0749,713.1336,414.1026,1975.468,1055.7516,696.4694,329.0175,458.4906,536.071,435.3765,535.5151,806.7227,121.6711,103.2447,183.5507,263.2857,357.1429,258.3026,120.8927,203.5503,128.7554,183.6999,307.5416,247.5345,189.6552,558.0247,99.0538,283.9912,301.5075,181.1391,173.6927,133.2357,271.1478,299.7133,14.3335,1442.4213,163.1924,197.7576,438.1588,654.6777,470.473,844.1333,171.259,228.1073,995.3917,164.4432,182.4963,74.6535,324.8175,134.8364,131.8188,232.5133,374.269,1808.4547,268.8656,1032.7999,519.8157,604.523,178.3754,301.7896,994.9597,277.552,243.5728,409.8541,108.3865,84.9715,239.899,335.2697,994.6559,499.7745,349.381,1145.0237,612.2449,324.2507,644.093,247.948,325.2097,1151.6779,1175.477,2053.5781,2602.5974,1990.278,1373.2178,819.9091,363.9064,718.5088,441.2407,644.8864,260.3511,39.1487,401.0501,40.0495
CTLA4,77.0541,133.2871,54.6106,45.1807,32.0242,81.713,12.0904,44.9579,30.4679,16.3317,43.5767,96.9323,101.8936,39.2453,33.1581,16.0285,76.6396,38.7365,50,14.393,32.6409,44.4674,30.5998,13.8867,61.0766,62.8328,22.3464,49.468,22.5641,20.6327,17.3697,29.6128,12.1212,33.6634,24.0709,18.8069,10.9204,65.7084,75.2834,88.8672,54.6288,36.4238,98.9899,85.0202,26.7559,12.6904,44.1262,111.3666,12.3839,4.3153,20.7373,38.4615,110.3351,100.7174,7.813,9.1394,18.8679,18.8679,29.2199,16.7348,73.8611,133.2588,14.927,20.7235,17.2646,44.4965,25.8303,8.7922,21.3018,1.1294,15.5239,15.6709,8.8757,27.0936,64.1975,14.4957,67.9825,21.0577,9.3371,41.7622,14.6413,17.0891,51.0381,0.9556,90.0591,748.739,23.1393,110.4736,55.3647,25.071,64.3262,9.326,15.8898,35.023,17.0614,5.4699,11.5274,24.635,16.3572,30.8512,21.7077,37.1517,12.8971,41.979,106.2308,34.233,13.15,23.0516,22.145,16.129,13.6501,24.7533,54.9087,11.28,36.7787,13.1313,18.9686,49.0323,17.4594,1.834,54.7657,27.7898,19.8521,4.8964,24.6238,25.1698,35.7942,103.8474,116.1484,18.6147,48.6098,80.8871,44.6097,45.674,45.1146,22.2805,105.1136,20.8678,10.0148,4.4426,7.8448
CXCR1,55.7684,122.1798,25.0671,22.0884,45.4398,999.2616,37.4801,59.1112,3.2644,13.8191,26.5988,6.7236,14.8783,3.0189,3.2349,20.4809,22.5989,136.4581,58.1633,70.6564,22.2552,13.4436,14.6879,9.7722,36.2319,285.41,15.3631,21.3391,32.8205,56.3961,76.9231,38.7244,16.6667,46.5347,2.1115,32.9121,98.2839,22.5873,18.1406,20.0195,101.6351,130.7947,103.0303,58.7045,60.2007,21.5736,6.6858,163.0315,18.5759,10.7883,9.2166,155.1282,111.5089,24.6126,4.4645,32.4956,47.1698,24.4173,14.61,22.685,12.8262,8.1114,4.9757,4.4407,1.079,18.7354,2.46,15.3863,2.3669,5.6472,5.1746,3.9177,38.4615,1.642,1.6461,4.8319,2.193,0.9572,1.8674,3.7966,2.9283,9.1142,3.2578,4.7778,15.748,65.0116,4.5324,18.6791,76.3791,60.3271,117.9971,15.2607,182.5565,38.7097,3.6301,21.3824,16.4677,14.1423,3.5367,5.6093,0.4824,5.504,20.5398,0.4998,30.4165,19.4865,6.0114,4.3908,0.515,23.1855,6.5723,1.4852,0.4903,0.9809,1.2682,0,0.9484,34.6111,4.0011,5.5021,40.0211,36.0399,12.067,4.8964,63.9535,1.1986,30.8725,83.203,12.7389,74.026,25.4407,65.9771,2.8914,5.57,0.4749,1.7475,10.2983,2.9811,0,1.6155,1.2386
CXCR2,68.9655,143.0059,16.1146,66.2651,52.7967,1090.8196,37.4801,77.0111,84.3308,22.6131,41.8789,21.2915,32.4617,6.4151,10.1092,18.6999,28.4942,138.2188,82.6531,78.5071,45.9941,15.5119,22.0318,18.0013,60.0414,362.0873,39.1061,18.4292,43.0769,46.7675,75.6824,29.6128,16.6667,50.495,14.3581,58.7717,79.5632,18.4805,30.839,131.8359,152.4526,84.4371,96.9697,52.6316,50.1672,30.4569,18.7202,191.7342,48.5036,17.2613,23.0415,203.8462,150.2436,42.4244,6.6968,45.6969,47.1698,37.7358,21.4279,33.8416,26.0946,12.7465,8.7074,22.2037,4.3162,36.2998,9.8401,23.0795,52.071,3.3883,6.4683,0,21.6963,3.2841,4.1152,3.2213,4.386,1.9143,9.3371,9.4914,2.9283,13.6713,1.0859,18.1558,30.5118,65.4539,16.937,44.2962,109.9212,72.0791,138.913,54.2603,225.9887,68.2028,11.9793,32.8195,38.9735,20.073,14.5889,31.4121,4.3415,5.504,45.3786,2.4988,59.9251,36.8664,5.6357,4.3908,4.12,25.7056,8.0889,5.4457,12.7467,0.4904,0,2.0202,7.1132,54.3888,6.1835,1.834,45.4976,53.8428,12.067,11.1281,117.9891,6.7918,43.8479,88.5205,13.8629,62.3377,25.895,95.7972,6.6088,14.482,5.6987,32.3285,11.7188,4.6373,6.8283,2.4233,5.7803
CXorf36,353.7676,497.5124,130.7073,101.4056,160.1212,561.1617,97.9319,228.952,81.0664,162.6884,178.8342,103.656,346.7087,105.6604,182.774,162.0659,117.9071,142.6207,102.0408,168.7902,123.1454,168.5626,124.847,113.1513,174.9482,109.6912,89.3855,45.5881,96.4103,101.7882,122.8288,150.3417,54.5455,163.3663,79.8142,168.087,104.5242,205.3388,148.2993,168.457,107.9872,327.8146,123.2323,127.5304,113.7124,147.2081,124.3557,64.2941,127.967,125.1443,199.3088,171.7949,259.4049,71.247,87.0587,89.3628,131.1321,203.1077,80.8417,264.0387,164.9713,201.6263,77.1226,54.7692,125.1686,77.2834,113.1611,79.1298,49.7041,91.4841,60.8021,75.4163,107.4951,109.1954,105.3498,61.2039,283.9912,143.575,156.8627,67.389,49.7804,101.3956,121.6228,56.3784,222.4409,255.1816,53.9122,218.2789,322.4894,314.171,254.9369,74.184,157.839,192.1659,207.2783,89.5077,99.9039,186.1314,43.3245,95.3583,146.165,205.0224,340.1003,168.9155,172.9656,130.6122,215.2838,93.8529,89.6099,180.4435,87.9673,95.5479,148.5476,71.1133,82.435,83.3333,96.2656,186.2405,133.8552,160.0183,229.5945,130.6991,113.6629,146.0003,109.4391,71.1147,171.8121,236.7845,201.5736,1297.4026,434.3086,225.8876,257.3317,296.3238,290.6328,152.0315,169.7443,107.3203,34.5966,234.2488,25.1858
CYP4F3,54.4913,229.0871,437.7798,340.3614,394.2443,226.4337,287.7506,214.3823,43.5256,271.3568,192.9825,44.2639,559.9639,207.9245,168.2167,614.4256,216.1631,128.5347,95.9184,341.5057,261.1276,385.7291,250.918,116.2372,80.7453,37.2737,62.8492,94.0862,274.8718,482.8061,188.5856,964.6925,381.8182,187.1287,238.1757,249.1919,304.2122,330.5955,232.1995,429.1992,148.6413,96.0265,448.4848,334.0081,632.107,178.934,279.4659,122.8477,582.0433,115.4348,315.6682,212.8205,52.82,590.7027,314.7506,317.8472,188.6792,389.5671,146.0995,309.7806,743.9186,234.072,90.8056,904.4315,197.4643,146.37,258.3026,1015.499,202.3669,302.6881,346.7012,293.8296,127.2189,199.5074,75.7202,128.0451,425.4386,117.7315,340.803,530.5694,215.2269,355.4543,64.0692,118.0124,91.0433,394.9344,194.6565,116.3442,88.9068,235.0406,73.7975,179.7372,151.8362,148.3871,183.6827,924.4157,201.4546,312.9562,96.3749,86.3834,53.0632,35.7757,313.8285,355.8221,276.9266,132.7189,96.1827,241.4929,433.6295,317.0363,272.4964,231.6912,30.3959,187.3467,260.6214,154.0404,140.3675,217.5552,272.8027,895.4608,232.5434,474.5983,375.2433,604.477,508.2079,748.302,188.8143,250.8602,77.5571,7.3593,526.9853,141.6457,227.5919,102.1166,188.5314,159.4583,48.6506,160.6492,452.4866,270.1939,81.3377
DCN,17971.4772,27061.8998,5168.308,3137.5502,2164.6652,32634.0143,5207.3195,6949.3183,931.9913,2202.8894,10722.1279,1488.1636,6241.2083,2873.9623,3551.9612,2894.9243,18633.2596,2636.7222,1783.6735,3154.6753,3385.7567,2879.0072,3128.519,1323.8698,1924.4306,1504.7923,2460.8939,1788.6068,2386.6667,15353.5076,2049.6278,5734.6241,1813.6364,5511.8812,662.5845,1490.4496,1380.6552,3722.7926,2415.873,2749.5117,5168.1425,4882.4503,3111.1111,14489.8785,1162.2074,2633.2487,3639.743,3479.9181,5085.6553,2516.9107,3020.7373,4758.9744,13883.4439,2148.0983,1896.3165,2882.9652,3698.1132,8102.1088,1691.8323,5584.6039,6561.2561,866.7615,227.636,589.1387,4402.4818,886.4169,1740.4674,1348.5035,701.7751,429.1845,690.815,1209.5984,920.1183,646.1412,1885.5967,380.914,3179.8246,1765.0156,1041.0831,313.2163,361.6398,1968.6699,2522.5871,992.3555,5342.0276,1237.4316,1138.1202,6102.2015,1992.7258,2375.4774,3982.699,1272.997,3231.2853,4534.5622,1957.3464,3041.7703,800.3294,2856.7518,3339.0805,4820.0813,8721.6594,1349.8452,12951.5166,2022.4888,12767.6768,1003.2916,6395.0195,670.1427,3529.8056,6855.3427,3311.9187,2680.786,967.2754,321.7263,199.7464,1065.1515,3984.3509,1248.0583,1958.7231,3399.8166,4101.5271,2752.4967,1903.8536,3870.3446,779.4118,1549.3408,5078.7472,5996.5593,5977.145,19880.5195,8257.3142,9568.5397,22982.2387,5971.4074,7430.6067,3175.1857,958.4517,1449.4866,467.964,17097.3344,286.1272
EDN1,848.8719,704.8479,899.7314,322.2892,190.4144,287.4723,332.485,361.7442,147.9869,639.4472,489.5303,1790.727,2136.6096,734.717,228.8718,103.2947,239.7445,416.4172,202.0408,206.7353,413.9466,184.0745,478.5802,309.1087,203.9337,64.9627,289.1061,814.7667,142.5641,301.238,142.6799,176.5376,169.697,279.2079,1022.8041,21.1578,266.7707,979.4661,1695.6916,140.625,69.8741,79.4702,80.8081,394.7368,58.5284,91.3706,1250.2424,774.9735,896.8008,196.3471,285.7143,301.2821,207.7587,92.2973,397.3447,261.9954,242.4528,301.8868,732.4455,390.1078,547.9876,50.986,73.3908,513.646,453.1967,660.4215,131.6113,147.2693,306.5089,562.4576,292.3674,264.4466,376.7258,296.3875,1189.3004,210.9926,699.5614,404.8816,1085.901,871.3108,298.6823,496.7246,223.6991,244.6249,466.0433,78.2793,144.3225,917.9453,147.5045,175.8887,233.6264,240.3561,289.548,1021.659,142.6627,772.7499,165.2257,412.865,1070.2918,1232.3657,1960.4438,198.1424,1334.6071,866.067,483.9405,351.2837,504.5832,86.169,585.0393,136.5927,95.5507,543.5832,552.0284,355.076,228.9157,558.5859,2642.7979,286.7773,1149.0448,366.3457,136.0716,180.1997,629.817,632.0747,202.4624,99.4806,548.0984,818.5799,347.6958,344.1558,1241.1412,926.6611,1052.8707,877.8314,2002.137,332.0227,267.4006,550.1822,234.8925,33.5218,999.1742
ELTD1,609.6211,806.2016,157.5649,104.4177,330.6286,955.9439,129.3669,432.9275,129.4886,320.3518,380.3056,127.1887,532.4617,134.717,177.9216,204.8085,328.1749,166.3908,150,126.9197,121.6617,179.938,111.3831,218.5877,250.5176,162.9393,122.905,76.6269,155.8974,207.7029,152.6055,200.4556,59.0909,200.9901,100.5068,23.5087,15.6006,63.655,144.2177,319.3359,49.5471,124.1722,50.5051,101.2146,35.1171,168.7817,135.0529,142.3655,142.4149,148.8786,240.7834,246.1538,328.6578,93.9166,66.9682,92.4092,130.1887,386.2375,55.5178,398.6612,286.5989,243.3421,79.6104,34.0457,105.7459,56.2061,111.9311,70.3376,74.5562,68.8954,55.6274,47.9922,78.8955,130.5419,110.2881,70.8677,218.2018,165.5899,102.7077,72.1347,57.101,127.599,145.513,55.9006,321.3583,405.1063,120.9447,299.9333,541.5235,401.9195,513.8203,143.2811,283.8983,289.8618,287.8664,172.551,163.579,395.073,116.7109,332.6322,416.3049,410.0447,696.4414,289.3553,359.5506,222.7781,194.2439,199.2316,145.2298,211.1895,126.8954,141.094,253.4624,80.4316,50.7292,163.6364,206.7576,283.069,121.8519,178.3586,338.2833,173.2523,218.3729,81.9026,218.1943,106.672,199.5526,268.0638,258.5238,1221.645,531.074,319.0756,430.8137,471.2217,447.8214,242.464,224.0767,121.2322,91.954,371.1632,52.8489
EMCN,248.6164,548.8835,123.5452,30.1205,148.8694,290.4258,37.4801,171.0896,64.7443,140.7035,135.2575,81.2439,241.2083,79.2453,99.4743,100.6233,127.7327,68.6692,52.0408,105.9845,57.8635,78.5936,72.2154,121.3804,101.4493,74.5474,64.2458,36.8585,72.8205,154.0578,44.665,80.8656,31.8182,118.8119,59.5439,15.2806,12.4805,24.6407,114.7392,144.043,25.4088,44.702,20.202,60.7287,16.7224,87.5635,73.5437,60.8498,68.1115,75.5181,149.7696,128.2051,183.1093,29.4704,43.5293,36.5575,52.8302,203.1077,18.5059,117.1439,141.9726,118.1947,38.5613,13.3222,49.6358,21.0773,67.6507,34.0698,66.2722,56.4717,31.0479,31.3418,49.3097,93.5961,36.214,49.9295,99.7807,94.7595,49.4865,32.2708,7.3206,54.6853,67.3269,22.9336,221.9488,152.5782,33.1584,97.1314,234.7949,250.71,179.9555,73.7601,105.9322,125.8065,139.3956,77.0761,77.3981,216.6971,35.3669,126.7704,242.1611,225.6622,214.951,93.4533,142.0951,68.4661,155.5454,93.3041,51.4999,83.1653,27.8058,96.0429,155.9015,31.8784,36.7787,55.5556,69.2353,123.1989,105.12,45.8505,71.1954,49.9349,73.1802,150.8967,72.5034,43.5477,85.4586,103.2218,61.8209,574.8918,217.6086,159.165,175.1342,221.3145,249.3173,133.6828,78.8352,63.9285,46.8874,205.1696,26.0116
EOMES,27.2456,38.8754,16.1146,7.0281,8.6552,6.8915,1.209,15.8185,1.0881,3.7688,2.2637,11.7664,3.6069,4.9057,1.2131,4.4524,6.8779,8.8037,14.2857,9.1592,4.451,14.4778,4.896,7.7149,9.3168,250.2662,9.7765,8.7296,12.3077,12.3796,3.7221,9.1116,6.0606,10.8911,8.4459,0,1.5601,0,34.9206,0,6.3522,8.2781,42.4242,4.0486,3.3445,17.7665,16.0459,19.5179,6.192,3.2365,12.6728,6.4103,21.128,20.0787,3.3484,1.0155,1.8868,4.4395,8.766,5.5783,7.9611,0,16.1709,1.4802,1.079,1.171,3.69,0,0,1.1294,0,6.856,0,8.2102,26.3374,16.9116,7.6754,1.9143,4.6685,7.5931,1.4641,4.5571,31.4916,0.9556,48.2283,5.3071,1.9084,18.1454,6.8701,9.4016,17.3641,4.663,2.8249,16.5899,0,0.4973,1.0978,2.281,0.8842,1.1219,7.2359,0,93.1455,2.4988,8.1716,12.1132,3.7571,11.5258,2.06,4.0323,6.5723,0.4951,3.4318,1.4713,0.6341,0.5051,1.8969,14.4213,7.6385,64.6492,79.1996,4.3422,12.067,3.1159,1.71,12.3851,27.7405,11.2606,42.338,6.9264,21.352,18.6376,9.5002,2.5993,8.548,13.543,26.6335,2.6499,7.7387,0.4039,80.0991
ESAM,638.5696,1051.4868,376.9293,208.8353,424.5375,1458.0359,348.2025,646.8935,219.8041,342.3367,460.1019,236.4477,812.4436,317.3585,332.7942,399.8308,315.4409,332.7904,280.6122,478.9192,293.7685,670.1344,391.6769,354.3692,409.9379,360,337.9888,167.8225,556.9538,375.5158,305.2605,527.3349,201.6061,537.6238,209.4595,722.8916,524.181,597.5359,283.9002,354.4922,546.3011,1299.6689,505.0505,1425.1012,652.2074,590.1015,517.5201,361.6543,426.2539,404.5613,602.5691,414.1026,598.6854,204.9972,306.9488,360.5484,388.6887,531.6315,273.6931,555.225,304.7324,419.4755,251.2703,84.3741,417.7178,277.5527,333.3333,207.7816,172.7811,306.0763,342.8202,243.8786,305.7692,293.1034,183.5391,196.4969,773.0263,418.2819,226.8908,205.0428,316.2518,361.1962,370.298,133.3015,457.6772,517.4393,155.5344,300.467,655.486,577.0248,663.7832,298.8554,375,470.9677,431.2551,218.2994,217.9223,478.1022,273.2095,370.2146,458.273,374.269,822.0683,425.7871,472.1371,287.5576,446.3476,233.2602,219.9047,435.4839,217.3905,349.022,423.5813,169.2006,119.2137,278.2828,328.1565,474.6659,337.5478,373.2233,512.2696,227.0951,323.8614,292.0007,303.0096,295.2457,341.387,465.4363,361.5586,1899.1342,789.5693,445.8112,556.3817,558.1136,581.2656,492.3547,390.9801,254.0576,116.991,431.3409,146.1602
ESM1,137.5053,192.0629,48.3438,126.506,240.6145,352.4489,95.5139,121.5527,192.0566,218.593,125.6367,155.7641,522.5428,83.0189,287.9094,109.528,55.0233,73.0711,104.0816,86.3578,135.0148,73.423,86.9033,293.679,139.7516,48.9883,92.1788,55.2877,43.0769,99.0371,196.0298,109.3394,22.7273,81.1881,179.4764,233.9113,110.7644,26.694,29.4785,218.2617,97.8237,100.9934,58.5859,186.2348,107.0234,147.2081,125.6928,51.6649,45.4076,63.651,57.6037,100,228.8867,34.3281,81.478,78.1924,51.8868,53.2741,69.1538,402.3801,129.5887,485.5255,180.3673,102.1371,77.6909,72.5995,200.492,49.4561,85.2071,141.1791,40.1035,51.9099,55.2268,144.4992,69.9588,67.6465,96.4912,130.1747,41.0831,89.2192,92.2401,112.7884,102.0763,32.0115,28.5433,310.4636,235.687,116.8779,218.63,468.5143,518.1613,174.2264,60.0282,183.871,194.936,88.0159,184.987,265.5109,86.649,150.3295,248.9146,173.3746,612.3716,94.9525,187.9469,248.5846,227.6824,341.9319,104.0299,208.1653,181.4958,211.3935,185.3168,246.6896,137.603,188.8889,61.1737,550.0686,161.1354,359.0096,469.2996,57.7508,121.0588,135.7625,177.8386,69.5166,251.0067,143.5721,472.4616,880.5195,385.6987,78.6506,408.0958,317.4898,307.2539,62.9096,591.6193,66.5783,125.6402,778.6753,13.2122
FAM124B,38.7399,48.1314,10.7431,3.012,10.819,53.1627,9.6723,24.9766,4.3526,17.5879,11.3186,15.1282,22.092,10.1887,12.131,9.7952,7.8605,7.9234,6.1224,18.3183,2.9674,11.3754,40.3917,9.2578,9.3168,11.7146,6.9832,6.7897,23.5897,12.3796,3.7221,14.8064,0,11.8812,3.8007,4.7017,4.6802,16.4271,9.9773,13.1836,15.2453,21.5232,2.0202,14.17,10.0334,17.7665,5.3486,10.333,14.4479,11.8671,18.4332,21.7949,37.5609,12.6302,7.813,6.0929,13.2075,18.8679,1.948,9.669,10.6148,11.5877,0,11.842,17.2646,4.6838,4.92,2.198,1.1834,2.2589,5.1746,10.7738,6.9034,5.7471,4.9383,3.2213,17.5439,15.3147,7.4697,5.6948,2.9283,13.6713,7.6014,4.7778,26.5748,22.9973,10.9733,26.1508,29.0968,18.8033,11.8392,6.3586,13.4181,17.9724,9.4382,2.9836,10.9785,18.2482,4.863,16.267,15.919,12.3839,24.3611,20.4898,27.2387,5.7933,31.5599,9.3304,8.24,35.7863,5.0556,4.9507,6.3733,0.9809,0.6341,6.0606,4.7421,13.5972,4.7286,12.3796,12.6382,10.4212,14.0132,20.9208,9.9179,7.5909,17.8971,11.2606,20.9816,195.2381,50.8813,30.5657,25.6093,23.394,37.5163,34.5129,11.0085,17.2242,3.1865,10.0969,4.9546
