HUGO_symbols,TCGA-AF-3911-01A-01R-1736-07,TCGA-AG-3583-01A-01R-0821-07,TCGA-AG-3592-01A-02R-1736-07,TCGA-AG-3601-01A-01R-0826-07,TCGA-AG-3731-01A-11R-1736-07,TCGA-AG-4001-01A-02R-1119-07,TCGA-AG-4007-01A-01R-1119-07,TCGA-AH-6549-01A-11R-1830-07,TCGA-AH-6644-01A-21R-1830-07,TCGA-AH-6897-01A-11R-1928-07,TCGA-DY-A1DD-01A-21R-A155-07,TCGA-DY-A1DF-01A-11R-A155-07,TCGA-EI-6510-01A-11R-1736-07,TCGA-EI-7002-01A-11R-1928-07,TCGA-F5-6571-01A-12R-1830-07,TCGA-F5-6811-01A-11R-1830-07,TCGA-F5-6863-01A-11R-1928-07,TCGA-F5-6864-01A-11R-1928-07,TCGA-G5-6233-01A-11R-1736-07
PLXNA2,924.2774,711.0609,972.1243,653.8121,1155.6915,911.3441,869.8795,611.4081,1960.018,867.7311,870.9643,763.5468,951.7918,2177.1259,1205.095,851.0338,1885.8736,964.0424,1503.0938
PTGDR,4.971,45.1467,8.3307,5.1562,36.3185,11.4395,8.4337,0.3191,12.5786,0.5859,0.5008,4.9261,97.2696,0.7427,9.2329,22.5564,1.1152,172.218,11.4231
PTPRB,682.3546,1023.5892,630.2435,1361.8164,1003.8956,606.2917,578.2048,829.0355,933.0638,526.1462,588.9752,418.1034,889.4497,1577.4229,698.4854,665.8788,1067.658,941.6919,675.8686
RASSF4,199.5034,222.9458,288.6895,280.1286,745.1018,766.5682,378.1446,487.9138,339.1734,197.4044,591.4945,181.0345,144.6246,344.2258,681.2279,272.5564,357.6208,636.2604,417.8962
ROBO4,203.8116,171.5576,384.4921,281.5311,665.2012,416.5872,326.506,436.2186,307.2776,182.2177,185.8124,212.4384,111.7747,176.3832,176.6295,167.7632,157.9926,313.0204,569.7287
SDPR,227.3411,82.3928,114.066,63.9375,499.2832,81.0296,89.1566,312.4053,203.0548,89.0582,176.7972,181.0345,54.6075,198.6632,310.3059,219.9248,375.4647,294.0954,138.9814
SH2D1B,2.6512,9.0293,1.9225,0,4.5876,0.9533,0,6.063,2.6954,2.9295,1.0017,4.9261,2.9863,3.7133,2.81,9.3985,1.1152,2.6495,2.3798
SHANK3,224.3585,112.8668,244.7933,225.8436,630.4119,505.2431,318.0723,316.2345,265.4987,71.4809,418.2031,351.601,102.3891,285.5551,386.9792,120.3008,183.6431,536.3361,526.416
SHE,55.0126,28.2167,54.4697,36.0937,221.7337,75.3098,45.7831,90.9454,92.9919,14.6477,45.0758,60.9606,31.57,63.1266,102.3648,55.4511,85.8736,116.9569,94.2408
SIRPG,10.9362,25.9594,29.7981,3.0937,64.2263,16.2059,32.5301,21.3801,23.8095,12.3041,11.0185,3.0788,30.7167,11.8827,61.8203,34.3045,6.3197,26.4951,11.8991
SLC25A37,163.7121,858.9165,213.0727,208.3124,616.2668,162.0591,180.7229,617.152,296.9452,340.4131,519.874,449.5074,380.9727,201.2625,323.5531,261.2782,339.4052,268.3573,338.8862
STEAP4,63.2976,60.9481,52.5473,24.75,204.5302,54.3375,72.2892,99.5612,91.195,66.7936,324.5456,488.3005,55.4608,44.1886,101.9634,112.312,48.6989,174.489,55.6878
TAGLN,10447.8172,2682.8442,2274.2711,4966.4973,7853.6863,11085.9867,4757.8313,5939.5293,6080.0674,1449.5386,28995.2483,26218.5961,450.5119,7909.8032,7037.6863,7569.6429,31725.0892,23553.4027,2864.8263
TECPR2,331.0696,349.8871,371.3553,250.5936,638.0579,602.4786,396.3855,460.4707,370.1707,495.093,624.0492,733.9901,629.6928,608.2436,372.9291,425.282,628.2528,697.5776,332.2228
TEK,116.6531,58.6907,150.2723,93.8437,446.9082,178.265,116.8675,141.0451,186.8823,34.5686,71.1196,84.3596,49.0614,137.3932,235.6398,132.9887,124.5353,288.7964,200.8567
TFEC,40.4309,41.7607,37.488,27.8437,148.7145,82.9361,36.1446,28.4005,53.9084,4.6873,7.0118,14.1626,20.9044,44.9313,150.9379,81.297,7.4349,73.0507,62.3513
THEMIS,17.5643,34.9887,19.545,4.125,58.1095,13.346,19.2771,8.935,11.6801,9.3745,3.0051,3.0788,21.3311,2.9707,52.5874,21.6165,1.8587,19.3036,9.9952
TIE1,250.2077,118.5102,236.4627,343.4061,892.6694,555.7674,344.5783,333.1472,363.4322,79.6836,221.873,402.0936,64.4198,239.1385,352.8576,200.188,333.4572,619.2279,391.7182
TLE3,810.6068,646.7269,745.5944,1035.3744,1631.6544,1361.2965,1210.8434,1415.8755,2098.3827,814.4134,1172.9721,1067.1182,1505.9727,965.8374,1330.7428,724.1541,1637.1747,1254.7313,898.1437
TNFRSF10C,17.5643,27.088,16.6613,28.875,52.375,24.7855,21.6867,23.6139,46.2713,10.5464,211.3553,219.2118,191.5529,40.104,67.4404,54.9812,55.7621,44.6631,26.654
TNFRSF25,192.544,160.2709,203.7808,220.6874,138.0101,450.858,345.5663,136.5776,45.8221,67.3795,235.3958,1608.9901,132.6792,212.4025,195.8982,97.2744,183.2714,189.6291,467.8724
TRAT1,5.9652,13.544,8.9715,1.0312,19.8796,4.7664,14.4578,5.1057,15.7233,4.1014,0,0,11.9454,2.228,19.6701,7.5188,1.1152,5.299,3.8077
VEPH1,3.9768,5.6433,1.6021,0,12.9982,7.6263,1.2048,0.9573,3.5939,2.3436,0.5008,0.6158,17.9181,1.4853,1.6057,4.2293,0.3717,0.757,5.2356
VNN3,2.9826,13.544,26.2736,2.0625,5.3522,1.9066,7.2289,0.9573,8.9847,0,0,0,5.1195,0,0.4014,68.609,0.7435,26.4951,0.9519
VWF,1211.2706,1671.5576,2241.5892,1743.8428,6429.5135,2762.6311,2563.8554,4502.9118,2505.8401,1315.9514,1167.4628,1197.0443,1030.7167,2572.967,1549.9239,1668.2331,2142.3792,2715.7456,4666.8253
